지표연도,시도,시군구,CRE수
2020,전국,전국,18113
2020,서울,서울,5144
2020,서울,강남구,437
2020,서울,강동구,512
2020,서울,강북구,44
2020,서울,강서구,97
2020,서울,관악구,44
2020,서울,광진구,165
2020,서울,구로구,381
2020,서울,금천구,5
2020,서울,노원구,123
2020,서울,도봉구,18
2020,서울,동대문구,175
2020,서울,동작구,135
2020,서울,마포구,4
2020,서울,서대문구,550
2020,서울,서초구,338
2020,서울,성동구,63
2020,서울,성북구,218
2020,서울,송파구,674
2020,서울,양천구,124
2020,서울,영등포구,309
2020,서울,용산구,56
2020,서울,은평구,353
2020,서울,종로구,227
2020,서울,중구,48
2020,서울,중랑구,44
2020,부산,부산,2224
2020,부산,강서구,2
2020,부산,금정구,20
2020,부산,기장군,28
2020,부산,남구,31
2020,부산,동구,48
2020,부산,동래구,99
2020,부산,부산진구,287
2020,부산,북구,52
2020,부산,사상구,65
2020,부산,사하구,26
2020,부산,서구,880
2020,부산,수영구,149
2020,부산,연제구,97
2020,부산,영도구,29
2020,부산,중구,12
2020,부산,해운대구,399
2020,대구,대구,1278
2020,대구,남구,455
2020,대구,달서구,235
2020,대구,달성군,1
2020,대구,동구,192
2020,대구,북구,105
2020,대구,서구,103
2020,대구,수성구,25
2020,대구,중구,162
2020,대구,군위군,0
2020,인천,인천,1195
2020,인천,강화군,32
2020,인천,계양구,98
2020,인천,미추홀구,90
2020,인천,남동구,343
2020,인천,동구,64
2020,인천,부평구,115
2020,인천,서구,155
2020,인천,연수구,49
2020,인천,옹진군,0
2020,인천,중구,249
2020,광주,광주,381
2020,광주,광산구,92
2020,광주,남구,23
2020,광주,동구,221
2020,광주,북구,37
2020,광주,서구,8
2020,대전,대전,282
2020,대전,대덕구,3
2020,대전,동구,1
2020,대전,서구,125
2020,대전,유성구,3
2020,대전,중구,150
2020,울산,울산,237
2020,울산,남구,16
2020,울산,동구,129
2020,울산,북구,6
2020,울산,울주군,6
2020,울산,중구,80
2020,경기,경기,3318
2020,경기,가평군,11
2020,경기,고양시 덕양구,126
2020,경기,고양시 일산동구,258
2020,경기,고양시 일산서구,103
2020,경기,과천시,0
2020,경기,광명시,42
