지표연도,시도,시군구,CRE수
2019,전국,전국,15369
2019,서울,서울,4744
2019,서울,강남구,454
2019,서울,강동구,473
2019,서울,강북구,44
2019,서울,강서구,43
2019,서울,관악구,26
2019,서울,광진구,125
2019,서울,구로구,303
2019,서울,금천구,10
2019,서울,노원구,67
2019,서울,도봉구,14
2019,서울,동대문구,128
2019,서울,동작구,87
2019,서울,마포구,1
2019,서울,서대문구,433
2019,서울,서초구,496
2019,서울,성동구,140
2019,서울,성북구,116
2019,서울,송파구,663
2019,서울,양천구,85
2019,서울,영등포구,391
2019,서울,용산구,63
2019,서울,은평구,199
2019,서울,종로구,190
2019,서울,중구,48
2019,서울,중랑구,145
2019,부산,부산,1836
2019,부산,강서구,3
2019,부산,금정구,18
2019,부산,기장군,25
2019,부산,남구,35
2019,부산,동구,40
2019,부산,동래구,51
2019,부산,부산진구,246
2019,부산,북구,17
2019,부산,사상구,43
2019,부산,사하구,16
2019,부산,서구,748
2019,부산,수영구,71
2019,부산,연제구,112
2019,부산,영도구,12
2019,부산,중구,7
2019,부산,해운대구,392
2019,대구,대구,977
2019,대구,남구,308
2019,대구,달서구,226
2019,대구,달성군,3
2019,대구,동구,72
2019,대구,북구,46
2019,대구,서구,111
2019,대구,수성구,17
2019,대구,중구,194
2019,대구,군위군,0
2019,인천,인천,1206
2019,인천,강화군,33
2019,인천,계양구,116
2019,인천,미추홀구,113
2019,인천,남동구,299
2019,인천,동구,102
2019,인천,부평구,132
2019,인천,서구,100
2019,인천,연수구,41
2019,인천,옹진군,0
2019,인천,중구,270
2019,광주,광주,181
2019,광주,광산구,59
2019,광주,남구,24
2019,광주,동구,59
2019,광주,북구,32
2019,광주,서구,7
2019,대전,대전,264
2019,대전,대덕구,4
2019,대전,동구,2
2019,대전,서구,80
2019,대전,유성구,6
2019,대전,중구,172
2019,울산,울산,294
2019,울산,남구,28
2019,울산,동구,134
2019,울산,북구,2
2019,울산,울주군,2
2019,울산,중구,128
2019,경기,경기,2498
2019,경기,가평군,3
2019,경기,고양시 덕양구,92
2019,경기,고양시 일산동구,169
2019,경기,고양시 일산서구,68
2019,경기,과천시,0
2019,경기,광명시,31
2019,경기,광주시,41
2019,경기,구리시,64
