지표연도,시도,시군구,CRE수
2024,전국,전국,19242
2024,서울,서울,5103
2024,서울,강남구,139
2024,서울,강동구,361
2024,서울,강북구,49
2024,서울,강서구,154
2024,서울,관악구,118
2024,서울,광진구,144
2024,서울,구로구,481
2024,서울,금천구,38
2024,서울,노원구,191
2024,서울,도봉구,64
2024,서울,동대문구,334
2024,서울,동작구,111
2024,서울,마포구,4
2024,서울,서대문구,475
2024,서울,서초구,159
2024,서울,성동구,153
2024,서울,성북구,466
2024,서울,송파구,539
2024,서울,양천구,154
2024,서울,영등포구,405
2024,서울,용산구,41
2024,서울,은평구,234
2024,서울,종로구,147
2024,서울,중구,23
2024,서울,중랑구,119
2024,부산,부산,1370
2024,부산,강서구,4
2024,부산,금정구,36
2024,부산,기장군,18
2024,부산,남구,42
2024,부산,동구,49
2024,부산,동래구,158
2024,부산,부산진구,174
2024,부산,북구,28
2024,부산,사상구,77
2024,부산,사하구,79
2024,부산,서구,334
2024,부산,수영구,53
2024,부산,연제구,99
2024,부산,영도구,30
2024,부산,중구,10
2024,부산,해운대구,179
2024,대구,대구,855
2024,대구,남구,235
2024,대구,달서구,169
2024,대구,달성군,7
2024,대구,동구,84
2024,대구,북구,144
2024,대구,서구,107
2024,대구,수성구,38
2024,대구,중구,71
2024,대구,군위군,0
2024,인천,인천,1579
2024,인천,강화군,25
2024,인천,계양구,161
2024,인천,미추홀구,353
2024,인천,남동구,374
2024,인천,동구,7
2024,인천,부평구,75
2024,인천,서구,272
2024,인천,연수구,26
2024,인천,옹진군,0
2024,인천,중구,286
2024,광주,광주,414
2024,광주,광산구,137
2024,광주,남구,33
2024,광주,동구,147
2024,광주,북구,68
2024,광주,서구,29
2024,대전,대전,412
2024,대전,대덕구,11
2024,대전,동구,34
2024,대전,서구,159
2024,대전,유성구,7
2024,대전,중구,201
2024,울산,울산,274
2024,울산,남구,71
2024,울산,동구,79
2024,울산,북구,34
2024,울산,울주군,8
2024,울산,중구,82
2024,경기,경기,5169
2024,경기,가평군,3
2024,경기,고양시 덕양구,100
2024,경기,고양시 일산동구,199
2024,경기,고양시 일산서구,80
2024,경기,과천시,0
2024,경기,광명시,113
2024,경기,광주시,53
2024,경기,구리시,67
2024,경기,군포시,46
2024,경기,김포시,271
2024,경기,남양주시,411
2024,경기,동두천시,12
2024,경기,부천시 소사구,114
2024,경기,부천시 오정구,80
2024,경기,성남시 분당구,132
2024,경기,성남시 수정구,65
2024,경기,성남시 중원구,11
2024,경기,수원시 권선구,71
2024,경기,수원시 영통구,96
2024,경기,수원시 장안구,327
2024,경기,수원시 팔달구,169
2024,경기,시흥시,198
2024,경기,안산시 단원구,355
2024,경기,안산시 상록구,228
2024,경기,안성시,67
2024,경기,안양시 동안구,124
2024,경기,안양시 만안구,57
2024,경기,양주시,29
2024,경기,양평군,8
2024,경기,여주시,13
2024,경기,연천군,1
2024,경기,오산시,63
2024,경기,용인시 기흥구,116
2024,경기,용인시 수지구,10
2024,경기,용인시 처인구,106
2024,경기,의왕시,59
2024,경기,의정부시,459
2024,경기,이천시,8
2024,경기,파주시,107
2024,경기,평택시,103
2024,경기,포천시,6
2024,경기,하남시,31
2024,경기,화성시,200
2024,경기,부천시,401
2024,강원,강원,370
2024,강원,강릉시,64
2024,강원,고성군,0
2024,강원,동해시,3
2024,강원,삼척시,3
2024,강원,속초시,8
2024,강원,양구군,1
2024,강원,양양군,0
2024,강원,영월군,0
2024,강원,원주시,171
2024,강원,인제군,1
2024,강원,정선군,0
2024,강원,철원군,0
2024,강원,춘천시,104
2024,강원,태백시,2
2024,강원,평창군,0
2024,강원,홍천군,0
2024,강원,화천군,0
2024,강원,횡성군,13
2024,충북,충북,258
2024,충북,괴산군,9
2024,충북,단양군,0
2024,충북,보은군,3
2024,충북,영동군,7
2024,충북,옥천군,4
2024,충북,음성군,27
2024,충북,제천시,9
2024,충북,증평군,0
2024,충북,진천군,25
2024,충북,충주시,11
2024,충북,청주시 상당구,23
2024,충북,청주시 흥덕구,41
2024,충북,청주시 서원구,84
2024,충북,청주시 청원구,15
2024,충남,충남,437
2024,충남,계룡시,0
2024,충남,공주시,14
2024,충남,금산군,1
2024,충남,논산시,70
2024,충남,당진시,14
2024,충남,보령시,5
2024,충남,부여군,4
2024,충남,서산시,14
2024,충남,서천군,4
2024,충남,아산시,58
2024,충남,예산군,4
2024,충남,청양군,0
2024,충남,태안군,0
2024,충남,홍성군,34
2024,충남,천안시 동남구,165
2024,충남,천안시 서북구,50
2024,전북,전북,794
2024,전북,고창군,17
2024,전북,군산시,128
2024,전북,김제시,35
2024,전북,남원시,4
2024,전북,무주군,0
2024,전북,부안군,16
2024,전북,순창군,1
2024,전북,완주군,4
2024,전북,익산시,203
2024,전북,임실군,0
2024,전북,장수군,0
2024,전북,전주시 덕진구,121
2024,전북,전주시 완산구,250
2024,전북,정읍시,15
2024,전북,진안군,0
2024,전남,전남,330
2024,전남,강진군,1
2024,전남,고흥군,3
2024,전남,곡성군,2
2024,전남,광양시,3
2024,전남,구례군,3
2024,전남,나주시,6
2024,전남,담양군,3
2024,전남,목포시,172
2024,전남,무안군,9
2024,전남,보성군,0
2024,전남,순천시,23
2024,전남,신안군,0
2024,전남,여수시,21
2024,전남,영광군,16
2024,전남,영암군,8
2024,전남,완도군,6
2024,전남,장성군,0
2024,전남,장흥군,0
2024,전남,진도군,0
2024,전남,함평군,0
2024,전남,해남군,12
2024,전남,화순군,42
2024,경북,경북,624
2024,경북,경산시,49
2024,경북,경주시,54
2024,경북,고령군,0
2024,경북,구미시,100
2024,경북,김천시,34
2024,경북,문경시,10
2024,경북,봉화군,0
2024,경북,상주시,14
2024,경북,성주군,0
2024,경북,안동시,176
2024,경북,영덕군,17
2024,경북,영양군,0
2024,경북,영주시,3
2024,경북,영천시,5
2024,경북,예천군,5
2024,경북,울릉군,0
2024,경북,울진군,1
2024,경북,의성군,1
2024,경북,청도군,1
2024,경북,청송군,0
2024,경북,칠곡군,7
2024,경북,포항시 남구,117
2024,경북,포항시 북구,30
2024,경남,경남,1139
2024,경남,거제시,18
2024,경남,거창군,10
2024,경남,고성군,0
2024,경남,김해시,66
2024,경남,남해군,9
2024,경남,밀양시,29
2024,경남,사천시,38
2024,경남,산청군,1
2024,경남,양산시,131
2024,경남,의령군,1
2024,경남,진주시,285
2024,경남,창녕군,1
2024,경남,통영시,13
2024,경남,하동군,0
2024,경남,함안군,4
2024,경남,함양군,11
2024,경남,합천군,1
2024,경남,창원시 마산합포구,128
2024,경남,창원시 마산회원구,129
2024,경남,창원시 성산구,107
2024,경남,창원시 의창구,149
2024,경남,창원시 진해구,8
2024,제주,제주,101
2024,제주,서귀포시,6
2024,제주,제주시,95
2024,세종,세종,13
2024,세종,세종시,13
