지표연도,시도,시군구,CRE수
2023,전국,전국,38405
2023,서울,서울,11218
2023,서울,강남구,496
2023,서울,강동구,751
2023,서울,강북구,42
2023,서울,강서구,263
2023,서울,관악구,155
2023,서울,광진구,352
2023,서울,구로구,739
2023,서울,금천구,53
2023,서울,노원구,421
2023,서울,도봉구,114
2023,서울,동대문구,495
2023,서울,동작구,286
2023,서울,마포구,6
2023,서울,서대문구,1112
2023,서울,서초구,428
2023,서울,성동구,236
2023,서울,성북구,948
2023,서울,송파구,1757
2023,서울,양천구,300
2023,서울,영등포구,802
2023,서울,용산구,88
2023,서울,은평구,499
2023,서울,종로구,478
2023,서울,중구,136
2023,서울,중랑구,261
2023,부산,부산,3070
2023,부산,강서구,9
2023,부산,금정구,44
2023,부산,기장군,33
2023,부산,남구,67
2023,부산,동구,54
2023,부산,동래구,202
2023,부산,부산진구,443
2023,부산,북구,65
2023,부산,사상구,103
2023,부산,사하구,50
2023,부산,서구,999
2023,부산,수영구,145
2023,부산,연제구,137
2023,부산,영도구,74
2023,부산,중구,26
2023,부산,해운대구,619
2023,대구,대구,1868
2023,대구,남구,639
2023,대구,달서구,309
2023,대구,달성군,15
2023,대구,동구,207
2023,대구,북구,240
2023,대구,서구,160
2023,대구,수성구,59
2023,대구,중구,239
2023,대구,군위군,0
2023,인천,인천,2983
2023,인천,강화군,71
2023,인천,계양구,242
2023,인천,미추홀구,464
2023,인천,남동구,879
2023,인천,동구,67
2023,인천,부평구,197
2023,인천,서구,449
2023,인천,연수구,42
2023,인천,옹진군,0
2023,인천,중구,572
2023,광주,광주,894
2023,광주,광산구,167
2023,광주,남구,45
2023,광주,동구,543
2023,광주,북구,115
2023,광주,서구,24
2023,대전,대전,985
2023,대전,대덕구,42
2023,대전,동구,13
2023,대전,서구,406
2023,대전,유성구,15
2023,대전,중구,509
2023,울산,울산,468
2023,울산,남구,69
2023,울산,동구,217
2023,울산,북구,8
2023,울산,울주군,10
2023,울산,중구,164
2023,경기,경기,8878
2023,경기,가평군,6
2023,경기,고양시 덕양구,311
2023,경기,고양시 일산동구,478
2023,경기,고양시 일산서구,139
2023,경기,과천시,0
2023,경기,광명시,136
2023,경기,광주시,100
2023,경기,구리시,107
2023,경기,군포시,112
2023,경기,김포시,452
2023,경기,남양주시,562
2023,경기,동두천시,2
2023,경기,부천시 소사구,0
2023,경기,부천시 오정구,0
2023,경기,성남시 분당구,343
2023,경기,성남시 수정구,122
2023,경기,성남시 중원구,27
2023,경기,수원시 권선구,92
2023,경기,수원시 영통구,220
2023,경기,수원시 장안구,374
2023,경기,수원시 팔달구,361
2023,경기,시흥시,267
2023,경기,안산시 단원구,515
2023,경기,안산시 상록구,234
2023,경기,안성시,69
2023,경기,안양시 동안구,342
2023,경기,안양시 만안구,172
2023,경기,양주시,60
2023,경기,양평군,19
2023,경기,여주시,23
2023,경기,연천군,3
2023,경기,오산시,181
2023,경기,용인시 기흥구,198
2023,경기,용인시 수지구,17
2023,경기,용인시 처인구,224
2023,경기,의왕시,30
2023,경기,의정부시,803
2023,경기,이천시,7
2023,경기,파주시,118
2023,경기,평택시,228
2023,경기,포천시,86
2023,경기,하남시,23
2023,경기,화성시,367
2023,경기,부천시,943
2023,강원,강원,768
2023,강원,강릉시,121
2023,강원,고성군,0
2023,강원,동해시,2
2023,강원,삼척시,4
2023,강원,속초시,24
2023,강원,양구군,2
2023,강원,양양군,0
2023,강원,영월군,0
2023,강원,원주시,290
2023,강원,인제군,0
2023,강원,정선군,0
2023,강원,철원군,0
2023,강원,춘천시,314
2023,강원,태백시,2
2023,강원,평창군,0
2023,강원,홍천군,3
2023,강원,화천군,0
2023,강원,횡성군,6
2023,충북,충북,461
2023,충북,괴산군,10
2023,충북,단양군,0
2023,충북,보은군,4
2023,충북,영동군,18
2023,충북,옥천군,5
2023,충북,음성군,34
2023,충북,제천시,22
2023,충북,증평군,0
2023,충북,진천군,46
2023,충북,충주시,27
2023,충북,청주시 상당구,41
2023,충북,청주시 흥덕구,73
2023,충북,청주시 서원구,136
2023,충북,청주시 청원구,45
2023,충남,충남,902
2023,충남,계룡시,0
2023,충남,공주시,18
2023,충남,금산군,3
2023,충남,논산시,95
2023,충남,당진시,13
2023,충남,보령시,8
2023,충남,부여군,6
2023,충남,서산시,31
2023,충남,서천군,1
2023,충남,아산시,166
2023,충남,예산군,14
2023,충남,청양군,0
2023,충남,태안군,0
2023,충남,홍성군,69
2023,충남,천안시 동남구,336
2023,충남,천안시 서북구,142
2023,전북,전북,1374
2023,전북,고창군,31
2023,전북,군산시,154
2023,전북,김제시,22
2023,전북,남원시,7
2023,전북,무주군,0
2023,전북,부안군,31
2023,전북,순창군,1
2023,전북,완주군,1
2023,전북,익산시,393
2023,전북,임실군,0
2023,전북,장수군,0
2023,전북,전주시 덕진구,310
2023,전북,전주시 완산구,386
2023,전북,정읍시,37
2023,전북,진안군,1
2023,전남,전남,637
2023,전남,강진군,0
2023,전남,고흥군,7
2023,전남,곡성군,3
2023,전남,광양시,20
2023,전남,구례군,0
2023,전남,나주시,3
2023,전남,담양군,4
2023,전남,목포시,264
2023,전남,무안군,2
2023,전남,보성군,0
2023,전남,순천시,83
2023,전남,신안군,0
2023,전남,여수시,71
2023,전남,영광군,35
2023,전남,영암군,2
2023,전남,완도군,7
2023,전남,장성군,3
2023,전남,장흥군,1
2023,전남,진도군,0
2023,전남,함평군,5
2023,전남,해남군,55
2023,전남,화순군,72
2023,경북,경북,1035
2023,경북,경산시,94
2023,경북,경주시,96
2023,경북,고령군,3
2023,경북,구미시,164
2023,경북,김천시,39
2023,경북,문경시,15
2023,경북,봉화군,5
2023,경북,상주시,14
2023,경북,성주군,0
2023,경북,안동시,285
2023,경북,영덕군,11
2023,경북,영양군,0
2023,경북,영주시,16
2023,경북,영천시,13
2023,경북,예천군,1
2023,경북,울릉군,0
2023,경북,울진군,3
2023,경북,의성군,0
2023,경북,청도군,3
2023,경북,청송군,0
2023,경북,칠곡군,11
