지표연도,시도,시군구,CRE수
2017,전국,전국,5717
2017,서울,서울,1776
2017,서울,강남구,217
2017,서울,강동구,141
2017,서울,강북구,6
2017,서울,강서구,6
2017,서울,관악구,16
2017,서울,광진구,62
2017,서울,구로구,91
2017,서울,금천구,9
2017,서울,노원구,29
2017,서울,도봉구,9
2017,서울,동대문구,46
2017,서울,동작구,50
2017,서울,마포구,0
2017,서울,서대문구,410
2017,서울,서초구,121
2017,서울,성동구,50
2017,서울,성북구,42
2017,서울,송파구,121
2017,서울,양천구,51
2017,서울,영등포구,144
2017,서울,용산구,10
2017,서울,은평구,19
2017,서울,종로구,87
2017,서울,중구,10
2017,서울,중랑구,29
2017,부산,부산,846
2017,부산,강서구,1
2017,부산,금정구,28
2017,부산,기장군,16
2017,부산,남구,15
2017,부산,동구,22
2017,부산,동래구,20
2017,부산,부산진구,167
2017,부산,북구,12
2017,부산,사상구,21
2017,부산,사하구,6
2017,부산,서구,208
2017,부산,수영구,52
2017,부산,연제구,72
2017,부산,영도구,6
2017,부산,중구,2
2017,부산,해운대구,198
2017,대구,대구,229
2017,대구,남구,103
2017,대구,달서구,16
2017,대구,달성군,1
2017,대구,동구,9
2017,대구,북구,10
2017,대구,서구,18
2017,대구,수성구,0
2017,대구,중구,72
2017,대구,군위군,0
2017,인천,인천,614
2017,인천,강화군,1
2017,인천,계양구,60
2017,인천,미추홀구,23
2017,인천,남동구,242
2017,인천,동구,115
2017,인천,부평구,68
2017,인천,서구,37
2017,인천,연수구,18
2017,인천,옹진군,0
2017,인천,중구,50
2017,광주,광주,80
2017,광주,광산구,4
2017,광주,남구,53
2017,광주,동구,8
2017,광주,북구,11
2017,광주,서구,4
2017,대전,대전,75
2017,대전,대덕구,4
2017,대전,동구,2
2017,대전,서구,24
2017,대전,유성구,2
2017,대전,중구,43
2017,울산,울산,72
2017,울산,남구,6
2017,울산,동구,54
2017,울산,북구,1
2017,울산,울주군,0
2017,울산,중구,11
2017,경기,경기,827
2017,경기,가평군,0
2017,경기,고양시 덕양구,63
2017,경기,고양시 일산동구,58
2017,경기,고양시 일산서구,33
2017,경기,과천시,0
2017,경기,광명시,14
2017,경기,광주시,18
2017,경기,구리시,17
2017,경기,군포시,16
2017,경기,김포시,29
2017,경기,남양주시,40
2017,경기,동두천시,2
2017,경기,부천시 소사구,0
2017,경기,부천시 오정구,0
2017,경기,성남시 분당구,39
2017,경기,성남시 수정구,0
2017,경기,성남시 중원구,2
2017,경기,수원시 권선구,1
2017,경기,수원시 영통구,23
2017,경기,수원시 장안구,5
2017,경기,수원시 팔달구,22
2017,경기,시흥시,7
2017,경기,안산시 단원구,22
2017,경기,안산시 상록구,3
2017,경기,안성시,8
2017,경기,안양시 동안구,154
2017,경기,안양시 만안구,31
2017,경기,양주시,0
2017,경기,양평군,4
2017,경기,여주시,0
2017,경기,연천군,0
2017,경기,오산시,0
2017,경기,용인시 기흥구,10
2017,경기,용인시 수지구,7
2017,경기,용인시 처인구,2
2017,경기,의왕시,1
2017,경기,의정부시,90
2017,경기,이천시,2
2017,경기,파주시,3
2017,경기,평택시,29
2017,경기,포천시,8
2017,경기,하남시,0
2017,경기,화성시,30
2017,경기,부천시,34
2017,강원,강원,130
2017,강원,강릉시,24
2017,강원,고성군,0
2017,강원,동해시,3
2017,강원,삼척시,1
2017,강원,속초시,7
2017,강원,양구군,0
2017,강원,양양군,0
2017,강원,영월군,0
2017,강원,원주시,45
2017,강원,인제군,0
2017,강원,정선군,0
2017,강원,철원군,1
2017,강원,춘천시,46
2017,강원,태백시,0
2017,강원,평창군,0
2017,강원,홍천군,0
2017,강원,화천군,0
2017,강원,횡성군,3
2017,충북,충북,49
2017,충북,괴산군,17
2017,충북,단양군,0
2017,충북,보은군,0
2017,충북,영동군,2
2017,충북,옥천군,1
2017,충북,음성군,4
2017,충북,제천시,2
2017,충북,증평군,0
2017,충북,진천군,0
2017,충북,충주시,1
2017,충북,청주시 상당구,9
2017,충북,청주시 흥덕구,2
2017,충북,청주시 서원구,10
2017,충북,청주시 청원구,1
2017,충남,충남,106
2017,충남,계룡시,0
2017,충남,공주시,0
2017,충남,금산군,0
2017,충남,논산시,6
2017,충남,당진시,3
2017,충남,보령시,0
2017,충남,부여군,0
2017,충남,서산시,3
2017,충남,서천군,2
2017,충남,아산시,6
2017,충남,예산군,0
2017,충남,청양군,0
2017,충남,태안군,0
2017,충남,홍성군,12
2017,충남,천안시 동남구,73
2017,충남,천안시 서북구,1
2017,전북,전북,276
2017,전북,고창군,2
2017,전북,군산시,6
2017,전북,김제시,3
2017,전북,남원시,3
2017,전북,무주군,0
2017,전북,부안군,3
2017,전북,순창군,0
2017,전북,완주군,0
2017,전북,익산시,17
2017,전북,임실군,0
2017,전북,장수군,0
2017,전북,전주시 덕진구,55
2017,전북,전주시 완산구,173
2017,전북,정읍시,14
2017,전북,진안군,0
2017,전남,전남,89
2017,전남,강진군,0
2017,전남,고흥군,0
2017,전남,곡성군,0
2017,전남,광양시,0
2017,전남,구례군,0
2017,전남,나주시,0
2017,전남,담양군,0
2017,전남,목포시,61
2017,전남,무안군,0
2017,전남,보성군,0
2017,전남,순천시,10
2017,전남,신안군,0
2017,전남,여수시,4
2017,전남,영광군,5
2017,전남,영암군,0
2017,전남,완도군,0
2017,전남,장성군,0
2017,전남,장흥군,0
2017,전남,진도군,0
2017,전남,함평군,0
2017,전남,해남군,1
2017,전남,화순군,8
2017,경북,경북,113
2017,경북,경산시,11
2017,경북,경주시,4
2017,경북,고령군,0
2017,경북,구미시,10
2017,경북,김천시,0
2017,경북,문경시,1
2017,경북,봉화군,0
2017,경북,상주시,7
2017,경북,성주군,0
2017,경북,안동시,17
2017,경북,영덕군,0
2017,경북,영양군,0
2017,경북,영주시,0
2017,경북,영천시,0
2017,경북,예천군,0
2017,경북,울릉군,0
2017,경북,울진군,0
2017,경북,의성군,0
2017,경북,청도군,7
2017,경북,청송군,0
2017,경북,칠곡군,0
2017,경북,포항시 남구,52
2017,경북,포항시 북구,4
2017,경남,경남,412
2017,경남,거제시,2
2017,경남,거창군,6
2017,경남,고성군,0
2017,경남,김해시,14
2017,경남,남해군,0
2017,경남,밀양시,9
2017,경남,사천시,43
2017,경남,산청군,0
2017,경남,양산시,123
2017,경남,의령군,0
2017,경남,진주시,92
2017,경남,창녕군,0
2017,경남,통영시,11
2017,경남,하동군,0
