지표연도,시도,시군구,CRE수
2021,전국,전국,23311
2021,서울,서울,6459
2021,서울,강남구,505
2021,서울,강동구,454
2021,서울,강북구,38
2021,서울,강서구,102
2021,서울,관악구,82
2021,서울,광진구,256
2021,서울,구로구,457
2021,서울,금천구,8
2021,서울,노원구,329
2021,서울,도봉구,34
2021,서울,동대문구,125
2021,서울,동작구,87
2021,서울,마포구,3
2021,서울,서대문구,578
2021,서울,서초구,473
2021,서울,성동구,88
2021,서울,성북구,306
2021,서울,송파구,1152
2021,서울,양천구,135
2021,서울,영등포구,324
2021,서울,용산구,66
2021,서울,은평구,325
2021,서울,종로구,354
2021,서울,중구,83
2021,서울,중랑구,95
2021,부산,부산,2370
2021,부산,강서구,5
2021,부산,금정구,61
2021,부산,기장군,43
2021,부산,남구,38
2021,부산,동구,43
2021,부산,동래구,119
2021,부산,부산진구,369
2021,부산,북구,74
2021,부산,사상구,69
2021,부산,사하구,29
2021,부산,서구,790
2021,부산,수영구,147
2021,부산,연제구,44
2021,부산,영도구,55
2021,부산,중구,16
2021,부산,해운대구,468
2021,대구,대구,1733
2021,대구,남구,659
2021,대구,달서구,400
2021,대구,달성군,9
2021,대구,동구,195
2021,대구,북구,151
2021,대구,서구,101
2021,대구,수성구,25
2021,대구,중구,193
2021,대구,군위군,0
2021,인천,인천,1897
2021,인천,강화군,74
2021,인천,계양구,101
2021,인천,미추홀구,186
2021,인천,남동구,836
2021,인천,동구,12
2021,인천,부평구,158
2021,인천,서구,172
2021,인천,연수구,38
2021,인천,옹진군,0
2021,인천,중구,320
2021,광주,광주,343
2021,광주,광산구,51
2021,광주,남구,32
2021,광주,동구,202
2021,광주,북구,51
2021,광주,서구,7
2021,대전,대전,354
2021,대전,대덕구,13
2021,대전,동구,4
2021,대전,서구,134
2021,대전,유성구,10
2021,대전,중구,193
2021,울산,울산,283
2021,울산,남구,37
2021,울산,동구,105
2021,울산,북구,5
2021,울산,울주군,6
2021,울산,중구,130
2021,경기,경기,4597
2021,경기,가평군,4
2021,경기,고양시 덕양구,167
2021,경기,고양시 일산동구,265
2021,경기,고양시 일산서구,94
2021,경기,과천시,0
2021,경기,광명시,27
2021,경기,광주시,22
2021,경기,구리시,109
2021,경기,군포시,100
2021,경기,김포시,190
2021,경기,남양주시,339
2021,경기,동두천시,4
2021,경기,부천시 소사구,0
2021,경기,부천시 오정구,0
2021,경기,성남시 분당구,194
2021,경기,성남시 수정구,75
2021,경기,성남시 중원구,5
2021,경기,수원시 권선구,16
2021,경기,수원시 영통구,103
2021,경기,수원시 장안구,122
2021,경기,수원시 팔달구,167
2021,경기,시흥시,163
2021,경기,안산시 단원구,197
2021,경기,안산시 상록구,82
2021,경기,안성시,2
2021,경기,안양시 동안구,255
2021,경기,안양시 만안구,96
2021,경기,양주시,37
2021,경기,양평군,13
2021,경기,여주시,14
2021,경기,연천군,6
2021,경기,오산시,99
2021,경기,용인시 기흥구,102
2021,경기,용인시 수지구,9
2021,경기,용인시 처인구,14
2021,경기,의왕시,6
2021,경기,의정부시,419
2021,경기,이천시,0
2021,경기,파주시,42
2021,경기,평택시,88
2021,경기,포천시,18
2021,경기,하남시,5
2021,경기,화성시,158
2021,경기,부천시,769
2021,강원,강원,500
2021,강원,강릉시,62
2021,강원,고성군,0
2021,강원,동해시,12
2021,강원,삼척시,0
2021,강원,속초시,7
2021,강원,양구군,0
2021,강원,양양군,0
2021,강원,영월군,1
2021,강원,원주시,137
2021,강원,인제군,0
2021,강원,정선군,0
2021,강원,철원군,1
2021,강원,춘천시,273
2021,강원,태백시,4
2021,강원,평창군,0
2021,강원,홍천군,3
2021,강원,화천군,0
2021,강원,횡성군,0
2021,충북,충북,192
2021,충북,괴산군,6
2021,충북,단양군,0
2021,충북,보은군,2
2021,충북,영동군,5
2021,충북,옥천군,2
2021,충북,음성군,12
2021,충북,제천시,6
2021,충북,증평군,0
2021,충북,진천군,11
2021,충북,충주시,25
2021,충북,청주시 상당구,46
